# These weekday factors should be applied to total annual emission factors in
# combination with the Monthly factors supplied in Monthlyfac.all.
# origin: EMEP/MSC-W based on GENEMIS data.
# Formate: CC SNAPsector  MON      TUE      WED      THU      FRI      SAT      SUN
 8  4  1.0683   1.0784   1.0845   1.0770   1.0805   0.8049   0.8064
11  4  1.0604   1.0875   1.0872   1.0818   1.0700   0.8060   0.8072
12  4  1.0744   1.0834   1.0827   1.0767   1.0791   0.8011   0.8025
14  4  1.0600   1.0835   1.0912   1.0718   1.0837   0.8050   0.8049
45  4  1.0744   1.0834   1.0827   1.0767   1.0791   0.8011   0.8025
16  4  1.0617   1.0774   1.0849   1.0768   1.0886   0.8052   0.8054
44  4  1.0744   1.0834   1.0827   1.0767   1.0791   0.8011   0.8025
17  4  1.0668   1.0848   1.0853   1.0769   1.0803   0.8036   0.8024
18  4  1.0669   1.0903   1.0908   1.0800   1.0734   0.7997   0.7989
19  4  1.0738   1.0752   1.0851   1.0844   1.0724   0.8056   0.8035
20  4  1.0785   1.0782   1.0784   1.0677   1.0840   0.8066   0.8065
21  4  1.0744   1.0834   1.0827   1.0767   1.0791   0.8011   0.8025
23  4  1.0669   1.0903   1.0908   1.0800   1.0734   0.7997   0.7989
48  4  1.0621   1.0815   1.0828   1.0725   1.0914   0.8060   0.8038
47  4  1.0744   1.0834   1.0827   1.0767   1.0791   0.8011   0.8025
42  4  1.0679   1.0824   1.0849   1.0772   1.0804   0.8034   0.8039
27  4  1.0533   1.0882   1.0893   1.0841   1.0794   0.8021   0.8035
51  4  1.0592   1.0758   1.0816   1.0764   1.0919   0.8074   0.8077
15  4  1.0592   1.0758   1.0816   1.0764   1.0919   0.8074   0.8077
 9  4  1.0556   1.0848   1.0849   1.0766   1.0844   0.8067   0.8070
 1  4  1.0556   1.0848   1.0849   1.0766   1.0844   0.8067   0.8070
40  4  1.0556   1.0848   1.0849   1.0766   1.0844   0.8067   0.8070
50  4  1.0556   1.0848   1.0849   1.0766   1.0844   0.8067   0.8070
49  4  1.0556   1.0848   1.0849   1.0766   1.0844   0.8067   0.8070
41  4  1.0556   1.0848   1.0849   1.0766   1.0844   0.8067   0.8070
52  4  1.0556   1.0848   1.0849   1.0766   1.0844   0.8067   0.8070
 2  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
 3  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
 4  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
24  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
46  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
10  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
 6  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
43  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
22  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
 7  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
 8  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
11  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
12  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
14  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
45  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
16  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
44  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
17  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
18  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
19  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
20  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
21  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
23  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
48  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
47  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
42  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
27  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
51  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
15  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
 9  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
 1  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
40  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
50  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
49  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
41  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
52  5  1.0159   1.0170   1.0159   0.9622   0.9622   1.0124   1.0145
 2  6  1.2777   1.2766   1.2758   1.2768   1.2766   0.4163   0.2002
 3  6  1.2082   1.2112   1.2131   1.2103   1.2069   0.7117   0.2386
 4  6  1.2195   1.2224   1.2242   1.2209   1.2175   0.4460   0.4495
24  6  1.2090   1.2092   1.2093   1.2091   1.2092   0.7150   0.2393
46  6  1.2203   1.2217   1.2217   1.2215   1.2184   0.4461   0.4503
10  6  1.2083   1.2090   1.2102   1.2096   1.2098   0.7141   0.2390
 6  6  1.2101   1.2141   1.2137   1.2087   1.2043   0.7105   0.2386
43  6  1.2203   1.2217   1.2217   1.2215   1.2184   0.4461   0.4503
22  6  1.2090   1.2058   1.2086   1.2094   1.2107   0.7169   0.2397
 7  6  1.2092   1.2122   1.2126   1.2095   1.2065   0.7114   0.2386
 8  6  1.2087   1.2070   1.2087   1.2095   1.2105   0.7162   0.2395
11  6  1.2097   1.2090   1.2088   1.2084   1.2094   0.7152   0.2395
12  6  1.2211   1.2222   1.2216   1.2202   1.2182   0.4463   0.4503
14  6  1.2066   1.2082   1.2116   1.2112   1.2105   0.7134   0.2386
45  6  1.2203   1.2217   1.2217   1.2215   1.2184   0.4461   0.4503
16  6  1.2072   1.2062   1.2086   1.2106   1.2120   0.7161   0.2393
44  6  1.2203   1.2217   1.2217   1.2215   1.2184   0.4461   0.4503
17  6  1.2075   1.2083   1.2099   1.2103   1.2107   0.7145   0.2389
18  6  1.2088   1.2135   1.2142   1.2100   1.2048   0.7102   0.2385
19  6  1.2203   1.2217   1.2217   1.2215   1.2184   0.4461   0.4503
20  6  1.2075   1.2055   1.2082   1.2102   1.2126   0.7167   0.2393
21  6  1.2203   1.2217   1.2217   1.2215   1.2184   0.4461   0.4503
23  6  1.2088   1.2134   1.2139   1.2097   1.2055   0.7102   0.2384
48  6  1.2107   1.2113   1.2096   1.2089   1.2061   0.7130   0.2403
47  6  1.2107   1.2113   1.2096   1.2089   1.2061   0.7130   0.2403
42  6  1.2146   1.2155   1.2164   1.2157   1.2141   0.6234   0.3003
27  6  1.2078   1.2097   1.2116   1.2103   1.2086   0.7131   0.2388
51  6  1.2146   1.2155   1.2164   1.2157   1.2141   0.6234   0.3003
15  6  1.2058   1.2025   1.2078   1.2115   1.2153   0.7178   0.2393
 9  6  1.2083   1.2090   1.2102   1.2096   1.2098   0.7141   0.2390
 1  6  1.2083   1.2090   1.2102   1.2096   1.2098   0.7141   0.2390
40  6  1.2083   1.2090   1.2102   1.2096   1.2098   0.7141   0.2390
50  6  1.2083   1.2090   1.2102   1.2096   1.2098   0.7141   0.2390
49  6  1.2083   1.2090   1.2102   1.2096   1.2098   0.7141   0.2390
41  6  1.2083   1.2090   1.2102   1.2096   1.2098   0.7141   0.2390
52  6  1.2083   1.2090   1.2102   1.2096   1.2098   0.7141   0.2390
 2  7  1.0386   1.0144   1.0283   1.0328   1.1063   0.8843   0.8952
 3  7  1.0414   1.0155   1.0320   1.0355   1.1106   0.8799   0.8851
 4  7  1.0050   0.9956   0.9966   0.9969   1.0001   0.9998   1.0061
24  7  1.0398   1.0136   1.0285   1.0323   1.1060   0.8845   0.8953
46  7  1.0408   1.0113   1.0215   1.0313   1.1320   0.8763   0.8867
10  7  1.0389   1.0122   1.0270   1.0310   1.1078   0.8853   0.8978
 6  7  1.0387   1.0155   1.0307   1.0361   1.1021   0.8837   0.8932
43  7  1.0412   1.0110   1.0195   1.0291   1.1269   0.8778   0.8946
22  7  1.0374   1.0143   1.0279   1.0327   1.1046   0.8867   0.8964
 7  7  1.0362   1.0170   1.0309   1.0354   1.1022   0.8856   0.8928
 8  7  1.0377   1.0173   1.0310   1.0348   1.1009   0.8846   0.8938
11  7  1.0384   1.0172   1.0325   1.0363   1.0970   0.8853   0.8933
12  7  1.0410   1.0225   1.0366   1.0297   1.0856   0.8890   0.8956
14  7  1.0381   1.0142   1.0271   1.0329   1.1026   0.8869   0.8982
45  7  1.0410   1.0110   1.0196   1.0291   1.1264   0.8780   0.8949
16  7  1.0384   1.0137   1.0285   1.0317   1.1001   0.8869   0.9008
44  7  1.0410   1.0110   1.0197   1.0292   1.1266   0.8779   0.8947
17  7  1.0375   1.0111   1.0253   1.0305   1.1098   0.8864   0.8993
18  7  1.0382   1.0179   1.0338   1.0379   1.1029   0.8814   0.8879
19  7  1.0405   1.0109   1.0198   1.0293   1.1252   0.8786   0.8957
20  7  1.0385   1.0188   1.0336   1.0396   1.0949   0.8831   0.8915
21  7  1.0390   1.0114   1.0190   1.0295   1.1232   0.8808   0.8971
23  7  1.0372   1.0103   1.0219   1.0300   1.1268   0.8819   0.8920
48  7  1.0408   1.0113   1.0213   1.0312   1.1323   0.8763   0.8868
47  7  1.0397   1.0119   1.0206   1.0301   1.1215   0.8805   0.8957
42  7  1.0379   1.0134   1.0257   1.0313   1.1068   0.8870   0.8980
