# These monthly factors should be applied to total annual emission factors in
# combination with the Weekday factors supplied in Weekdayfactor.all.
# origin: EMEP/MSC-W based on GENEMIS data.
# Formate: CC SNAPsector  JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC
27  4  0.913  0.993  1.088  1.041  0.982  1.018  1.000  0.929  0.971  1.044  1.044  0.979
51  4  0.948  1.029  1.100  1.091  1.073  1.060  1.055  0.738  0.778  1.077  1.053  1.000
15  4  0.948  1.029  1.100  1.091  1.073  1.060  1.055  0.738  0.778  1.077  1.053  1.000
 9  4  0.952  0.939  1.008  1.000  0.978  0.984  0.982  0.931  0.993  1.094  1.095  1.041
 1  4  0.977  1.035  1.071  1.043  1.025  1.027  0.966  0.874  0.938  1.029  1.026  0.992
40  4  0.977  1.035  1.071  1.043  1.025  1.027  0.966  0.874  0.938  1.029  1.026  0.992
50  4  0.948  1.029  1.100  1.091  1.073  1.060  1.055  0.738  0.778  1.077  1.053  1.000
49  4  0.948  1.029  1.100  1.091  1.073  1.060  1.055  0.738  0.778  1.077  1.053  1.000
41  4  0.977  1.035  1.071  1.043  1.025  1.027  0.966  0.874  0.938  1.029  1.026  0.992
52  4  0.948  1.029  1.100  1.091  1.073  1.060  1.055  0.738  0.778  1.077  1.053  1.000
 2  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
 3  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
 4  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
24  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
46  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
10  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
 6  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
43  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
22  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
 7  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
 8  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
11  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
12  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
14  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
45  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
16  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
44  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
17  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
18  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
19  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
20  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
21  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
23  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
48  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
47  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
42  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
27  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
51  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
15  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
 9  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
 1  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
40  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
50  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
49  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
41  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
52  5  0.993  1.001  1.001  0.999  1.000  0.999  1.001  1.001  1.001  1.001  1.001  1.001
 2  6  0.891  0.900  0.900  0.950  1.052  1.100  1.100  1.100  1.100  1.049  0.950  0.900
 3  6  0.948  1.010  1.068  1.057  1.017  1.052  0.901  0.814  0.992  1.072  1.072  1.004
 4  6  0.951  1.171  1.292  1.149  1.059  1.023  0.890  0.845  0.908  0.893  0.908  0.928
24  6  0.990  1.001  1.001  1.001  1.001  1.001  1.001  1.001  1.001  1.001  1.001  1.001
46  6  0.743  0.799  0.917  1.008  1.034  1.142  1.228  1.272  1.242  1.058  0.833  0.712
10  6  0.950  0.931  0.998  1.006  0.977  0.996  0.976  0.931  0.986  1.098  1.107  1.040
 6  6  0.951  0.966  1.033  1.026  0.987  1.025  0.876  0.906  1.051  1.062  1.096  1.023
43  6  0.743  0.799  0.917  1.008  1.034  1.142  1.228  1.272  1.242  1.058  0.833  0.712
22  6  0.968  1.027  1.052  1.035  1.033  1.091  1.070  0.792  0.795  1.056  1.086  0.997
 7  6  0.981  1.014  1.036  1.061  1.097  1.091  0.838  0.802  1.016  1.041  1.026  1.005
 8  6  0.963  1.026  1.042  1.046  1.047  1.062  1.030  0.852  0.871  1.037  1.047  0.980
11  6  0.950  0.954  0.992  0.977  1.003  1.037  1.042  0.979  0.927  1.030  1.082  1.026
12  6  0.877  0.838  0.848  0.849  0.967  1.123  1.122  1.109  1.108  1.079  1.068  1.001
14  6  0.964  0.944  1.023  1.026  0.997  1.051  1.004  0.885  0.951  1.046  1.056  1.050
45  6  0.743  0.799  0.917  1.008  1.034  1.142  1.228  1.272  1.242  1.058  0.833  0.712
16  6  0.951  0.985  0.991  1.021  1.056  1.087  1.085  0.912  0.906  1.011  1.007  0.986
44  6  0.743  0.799  0.917  1.008  1.034  1.142  1.228  1.272  1.242  1.058  0.833  0.712
17  6  0.989  0.961  0.982  1.021  1.036  1.036  0.969  0.891  0.961  1.042  1.056  1.056
18  6  0.944  1.034  1.066  1.002  0.958  1.022  0.860  0.853  1.077  1.097  1.092  1.004
19  6  0.743  0.799  0.917  1.008  1.034  1.142  1.228  1.272  1.242  1.058  0.833  0.712
20  6  0.970  0.981  1.017  1.051  1.051  1.046  1.041  0.861  0.866  1.042  1.051  1.020
21  6  0.743  0.799  0.917  1.008  1.034  1.142  1.228  1.272  1.242  1.058  0.833  0.712
23  6  1.007  1.022  1.028  1.058  1.083  1.088  0.767  0.726  1.023  1.074  1.083  1.052
48  6  0.587  0.754  0.916  1.153  1.339  1.367  1.368  1.325  1.143  0.854  0.649  0.532
47  6  0.587  0.754  0.916  1.153  1.339  1.367  1.368  1.325  1.143  0.854  0.649  0.532
42  6  0.878  0.928  0.995  1.031  1.051  1.097  1.065  1.011  1.040  1.033  0.968  0.902
27  6  0.919  0.990  1.079  1.053  0.993  1.023  0.997  0.922  0.973  1.038  1.038  0.976
51  6  0.878  0.928  0.995  1.031  1.051  1.097  1.065  1.011  1.040  1.033  0.968  0.902
15  6  0.947  1.023  1.098  1.097  1.077  1.063  1.052  0.743  0.777  1.072  1.053  1.001
 9  6  0.950  0.931  0.998  1.006  0.977  0.996  0.976  0.931  0.986  1.098  1.107  1.040
 1  6  0.878  0.928  0.995  1.031  1.051  1.097  1.065  1.011  1.040  1.033  0.968  0.902
40  6  0.878  0.928  0.995  1.031  1.051  1.097  1.065  1.011  1.040  1.033  0.968  0.902
50  6  0.878  0.928  0.995  1.031  1.051  1.097  1.065  1.011  1.040  1.033  0.968  0.902
49  6  0.878  0.928  0.995  1.031  1.051  1.097  1.065  1.011  1.040  1.033  0.968  0.902
41  6  0.878  0.928  0.995  1.031  1.051  1.097  1.065  1.011  1.040  1.033  0.968  0.902
52  6  0.878  0.928  0.995  1.031  1.051  1.097  1.065  1.011  1.040  1.033  0.968  0.902
 2  7  0.842  0.881  0.983  1.011  1.035  1.047  1.059  1.067  1.047  1.070  1.015  0.935
 3  7  0.863  0.907  0.989  1.017  1.038  1.039  1.032  1.032  1.039  1.072  1.018  0.950
 4  7  0.783  0.805  0.844  0.948  1.068  1.164  1.225  1.189  1.073  1.152  0.997  0.739
